sample_index,dataset,model,draft_model,temperature,block_size,method,tree_budget,num_input_tokens,num_output_tokens,time_to_first_token_ms,time_per_output_token_ms,tokens_per_second,total_decode_time_seconds,decode_rounds,mean_acceptance_length,speedup_vs_baseline,stage_commit_seconds,stage_draft_seconds,stage_tree_build_seconds,stage_tree_build_copy_seconds,stage_tree_build_heap_seconds,stage_tree_build_visibility_seconds,stage_tree_compile_seconds,stage_verify_seconds
0,gsm8k,Qwen/Qwen3-4B,z-lab/Qwen3-4B-DFlash-b16,0.0,16,baseline,,64,291,37.52648599993336,36.63091414776637,27.299346010478327,10.659596017000013,290,1,1.0,0.07163281999874016,0.0,0.0,0.0,0.0,0.0,0.0,10.539025380000112
0,gsm8k,Qwen/Qwen3-4B,z-lab/Qwen3-4B-DFlash-b16,0.0,16,dflash,,64,282,37.47332400007508,6.960631914893358,143.66511722309926,1.9628981999999269,38,7.421052631578948,5.26258457502814,0.019669803999022406,0.38162033300022813,0.0,0.0,0.0,0.0,0.0,1.554387724000435
0,gsm8k,Qwen/Qwen3-4B,z-lab/Qwen3-4B-DFlash-b16,0.0,16,ddtree_tb16,16,64,291,38.09430000001157,5.9981744295532815,166.71739239075043,1.7454687590000049,35,8.342857142857143,6.1070104876050575,0.06666288100018392,0.26601528000014696,0.016335797000238017,0.01087117099950774,0.0023180830000910646,0.0007447390000834275,0.008581791000551675,1.380150666000418
0,gsm8k,Qwen/Qwen3-4B,z-lab/Qwen3-4B-DFlash-b16,0.0,16,ddtree_tb32,32,64,291,37.67325900003016,5.826125243985873,171.64066306886704,1.695402445999889,34,8.588235294117647,6.287354393141363,0.06472677000010663,0.2588467619993935,0.0182819359995392,0.010778542000025482,0.0038631859990800876,0.001220503000467943,0.008175526000286482,1.3375526719994468
0,gsm8k,Qwen/Qwen3-4B,z-lab/Qwen3-4B-DFlash-b16,0.0,16,ddtree_tb64,64,64,291,37.57616899997629,5.200823134021032,192.27725577871112,1.5134395320001204,30,9.733333333333333,7.043291648998082,0.05761661499991533,0.22711575199969047,0.02014084999905208,0.009412839000333406,0.006365391999224812,0.0020162650002930604,0.007400300000426796,1.1944318530004239
0,gsm8k,Qwen/Qwen3-4B,z-lab/Qwen3-4B-DFlash-b16,0.0,16,ddtree_tb128,128,64,282,37.81278399992516,4.956205262411259,201.76726891926324,1.397649883999975,28,10.107142857142858,7.390919505610821,0.05447162299969932,0.2112617669993142,0.02620781300015551,0.008698687999640242,0.011395860999982688,0.0035719279997010744,0.006965572999888536,1.0924232979998578
0,gsm8k,Qwen/Qwen3-4B,z-lab/Qwen3-4B-DFlash-b16,0.0,16,ddtree_tb256,256,64,292,37.62390800011417,5.237513328767183,190.93030169631706,1.5293538920000174,30,9.766666666666667,6.993951489644921,0.060036038000816916,0.22626130699995883,0.044719397999870125,0.009814956998752677,0.024125981000224783,0.0074438350006857945,0.007794946999183594,1.183761990000221
0,gsm8k,Qwen/Qwen3-4B,z-lab/Qwen3-4B-DFlash-b16,0.0,16,ddtree_tb512,512,64,292,37.5225570001021,5.496343349314941,181.93914325323928,1.6049322579999628,29,10.10344827586207,6.664597136627576,0.06139652499973636,0.21856516799948622,0.07535635500084936,0.009609482998939711,0.04678366900043329,0.014491262000319693,0.008138375000044107,1.2348746870006835
0,gsm8k,Qwen/Qwen3-4B,z-lab/Qwen3-4B-DFlash-b16,0.0,16,ddtree_tb1024,1024,64,292,37.560737999911,8.937898424657716,111.88312425225348,2.6098663400000532,28,10.464285714285714,4.098381119068175,0.06323634599971228,0.21066559599989887,0.14048165499980314,0.009659690999569648,0.09554161999994903,0.028584067999872786,0.009632707999571721,2.179399788999717
1,gsm8k,Qwen/Qwen3-4B,z-lab/Qwen3-4B-DFlash-b16,0.0,16,baseline,,78,238,38.1865619999644,36.76398278991633,27.200534983230416,8.749827904000085,237,1,1.0,0.05869294700028149,0.0,0.0,0.0,0.0,0.0,0.0,8.651130899998634
1,gsm8k,Qwen/Qwen3-4B,z-lab/Qwen3-4B-DFlash-b16,0.0,16,dflash,,78,238,38.1290610000633,6.906577588235733,144.789512204039,1.6437654660001044,33,7.242424242424242,5.32303913482967,0.018072645999836823,0.25262976299950424,0.0,0.0,0.0,0.0,0.0,1.3667568559994834
1,gsm8k,Qwen/Qwen3-4B,z-lab/Qwen3-4B-DFlash-b16,0.0,16,ddtree_tb16,16,78,238,38.89785100000154,6.104078239495377,163.82489882414578,1.4527706209998996,29,8.241379310344827,6.022855760930679,0.055337820999966425,0.21947171699935097,0.013717970999778117,0.009172587000193744,0.0019489429994337115,0.0006022240006586799,0.007177582000622351,1.1505333690001862
1,gsm8k,Qwen/Qwen3-4B,z-lab/Qwen3-4B-DFlash-b16,0.0,16,ddtree_tb32,32,78,238,38.145572000075845,5.460149281512682,183.145175789582,1.2995155290000184,26,9.192307692307692,6.733146090784393,0.04963375600004838,0.19607439099991097,0.013900996000074883,0.00811305699926379,0.0029371650000484806,0.0009218999998665822,0.006542889000002106,1.0274696220005808
1,gsm8k,Qwen/Qwen3-4B,z-lab/Qwen3-4B-DFlash-b16,0.0,16,ddtree_tb64,64,78,238,38.12022099987189,5.532915970588072,180.73652398044894,1.316834000999961,26,9.192307692307692,6.644594457126525,0.050092962000235275,0.19680580499880307,0.017485962999444382,0.008178725000107079,0.005583088000321368,0.001670875000399974,0.006384426999147763,1.040108629999395
1,gsm8k,Qwen/Qwen3-4B,z-lab/Qwen3-4B-DFlash-b16,0.0,16,ddtree_tb128,128,78,238,38.1800119998843,5.041250764705893,198.3634710260917,1.1998176820000026,24,9.958333333333334,7.292631234951301,0.04672933400001966,0.17991654299953552,0.022444677999828855,0.007414893000031952,0.009894752000036533,0.002956572000130109,0.00604043799989995,0.9392270499997721
1,gsm8k,Qwen/Qwen3-4B,z-lab/Qwen3-4B-DFlash-b16,0.0,16,ddtree_tb256,256,78,237,38.14254200005962,4.95512747679276,201.8111551485769,1.1743652119998842,23,10.347826086956522,7.419381834695415,0.045921394000288274,0.171909201000517,0.034346812999956455,0.007477323000102842,0.01874290600017048,0.0055457069995554775,0.006034524999222413,0.9109147789997678
1,gsm8k,Qwen/Qwen3-4B,z-lab/Qwen3-4B-DFlash-b16,0.0,16,ddtree_tb512,512,78,238,38.09702100011236,5.346749323529511,187.0295275672055,1.2725263390000237,23,10.391304347826088,6.875950332686924,0.04777892900074221,0.17281380300028104,0.060087973000463535,0.0076099090003936,0.03775678099918878,0.011141768999777923,0.006391497999629792,0.9801869469997655
